,depNO2,p_XCOORD,p_YCOORD,pA_landuseArea_HDres_100_sum,pA_landuseArea_HDres_300_sum,pA_landuseArea_HDres_500_sum,pA_landuseArea_HDres_1000_sum,pA_landuseArea_HDres_5000_sum,pA_landuseArea_Industry_1000_sum,pA_landuseArea_Industry_5000_sum,pA_landuseArea_LDres_300_sum,pA_landuseArea_LDres_500_sum,pA_landuseArea_LDres_1000_sum,pA_landuseArea_LDres_5000_sum,pA_landuseArea_Natural_5000_sum,pA_landuseArea_UrbGreen_1000_sum,pA_landuseArea_UrbGreen_5000_sum,pA_landuseArea_Industry_500_sum,pA_landuseArea_LDres_100_sum,pA_landuseArea_Natural_500_sum,pA_landuseArea_Natural_1000_sum,pA_landuseArea_UrbGreen_500_sum,pA_landuseArea_UrbGreen_300_sum,pA_landuseArea_Industry_100_sum,pA_landuseArea_Industry_300_sum,pA_landuseArea_UrbGreen_100_sum,pA_landuseArea_Natural_300_sum,pA_landuseArea_Port_5000_sum,pA_landuseArea_Natural_100_sum,pA_landuseArea_Port_300_sum,pA_landuseArea_Port_500_sum,pA_landuseArea_Port_1000_sum,pA_EmissionAreaWt_All_100_wtv,pA_EmissionAreaWt_All_300_wtv,pA_EmissionAreaWt_All_500_wtv,pA_EmissionAreaWt_All_1000_wtv,pA_EmissionAreaWt_All_5000_wtv,pB_rdLength_major_25_sum,pB_rdLength_major_50_sum,pB_rdLength_major_100_sum,pB_rdLength_major_300_sum,pB_rdLength_major_500_sum,pB_rdLength_major_1000_sum,pB_rdLength_minor_25_sum,pB_rdLength_minor_50_sum,pB_rdLength_minor_100_sum,pB_rdLength_minor_300_sum,pB_rdLength_minor_500_sum,pB_rdLength_minor_1000_sum,pC_EmissionPoint_Misc_5000_sum,pC_EmissionPoint_Waste_5000_sum,pC_EmissionPoint_Misc_500_sum,pC_EmissionPoint_Misc_1000_sum,pC_EmissionPoint_Misc_300_sum,pC_EmissionPoint_Misc_100_sum,pC_EmissionPoint_Power_5000_sum,pC_EmissionPoint_Waste_1000_sum,pC_EmissionPoint_Waste_500_sum,pC_EmissionPoint_Chemical_5000_sum,pC_EmissionPoint_Waste_300_sum,pD_EmissionAreaVal_NOxEmission_val,pE_majorRdDist_none_dist,pE_majorRdDist_none_invd,pE_majorRdDist_none_invsq,pF_EmPoint_Emission_valinvd,pF_EmPoint_Emission_valinvsq,pG_EmAreaRaster_raster_val
depNO2,1.0,0.015291155892913803,-0.006574940744549539,0.18196864470518553,0.20598230375903956,0.21613417471502716,0.23808266292446129,0.18991306120193516,0.16636142634689605,0.13100362021230633,-0.08787827084843582,-0.07384174482683586,-0.019169700935366345,0.1685504676746154,-0.09535227183352302,-0.10374055121513899,0.037648278724699225,0.12245289527057872,-0.09387303054806621,-0.10698187679801648,-0.14626940209325903,-0.08826705016199986,-0.0816909221455463,0.11217908782093869,0.10512677186414932,-0.051036424348377005,-0.048703329694087014,0.14002262909857902,0.004660231060843619,0.043334371323078005,0.050370716064757015,0.04203103585333583,0.3006181467085904,0.3003647115558153,0.30252332423115336,0.2887153260056657,0.15982166408133974,0.4293536328848613,0.4036338960802247,0.3911270602221509,0.2525090135760551,0.28671331984809395,0.3285676040790117,-0.18478254893653345,-0.05801985506434665,0.02988134577278617,0.1805015805697093,0.20248916505599437,0.2331205016534481,-0.12948927949783165,0.16159280721149735,-0.009999000322925593,-0.03274209407445767,-0.004498045693883408,0.14320448132361058,-0.08042614953495915,0.03442803005011198,0.019446212551153266,-0.0701264148023058,-0.0032790171917107466,0.3067761426956003,-0.3176241908600903,0.16397844830103778,0.0859464192552705,0.018744423396721572,0.018456799505630297,0.3067761426956003
p_XCOORD,0.015291155892913803,1.0,-0.3201388014841452,0.3007789416829303,0.3153636406934726,0.3288720587611539,0.3509767799501609,0.567776919342277,0.09287797882316334,0.11350147280928204,-0.1608745476598597,-0.13732344424688817,-0.0554360529168392,0.456672163568294,0.0772479826732602,-0.03247874525450422,0.23267641512274873,0.06295609806949883,-0.1750537030845631,-0.10609506877416167,-0.16744883304878855,-0.09707020338728117,-0.12669089321381943,0.02634422421618096,0.0453366133747485,-0.08992722163658666,-0.07353921407245817,0.0601271380635687,-0.0470791196406729,0.012173309969855186,0.014461354947887766,0.022898543587658273,0.12412875154512987,0.15766324099741863,0.18203340415197677,0.20302092780259448,0.22984484006501127,-0.028845280409926868,0.017978476000177622,0.07956215522703575,0.129474685531572,0.13282725560929884,0.20860668178932254,0.02622282407016132,0.0624326474606176,0.05596241316804149,0.1603228889612495,0.1977267331123902,0.22304759269824279,-0.045025649807197685,0.12319090547279553,-0.11479742502915109,-0.011084245014553988,-0.09588723495474868,0.023773376069562795,-0.03960622006264465,0.017303628777978204,0.05654080776190433,-0.019853054115129894,-0.03666153465599377,0.12114163844508398,0.03335889465498653,0.0767347762043143,0.06577602588310821,0.024008261147062435,0.0009167824198312695,0.12114163844508398
p_YCOORD,-0.006574940744549539,-0.3201388014841452,1.0,-0.11925973623726621,-0.11595818285629203,-0.10807234497476234,-0.10891998754542326,-0.2714357827252712,-0.15249581475867474,-0.34239322134176975,0.1614019251637193,0.1333498501448527,0.06879934866454976,-0.4462777621198776,0.38203489866415874,-0.05986951328874711,-0.4114453307716875,-0.11746156778747996,0.16125753524194264,0.01643674577456849,0.046972330154391395,-0.06581997100150146,-0.07890137712907619,-0.09511879159033992,-0.10412830368553566,-0.08291070034244506,0.003465821314944129,-0.1817801457167381,0.02764872072032935,-0.032630147311844576,-0.040638585411660946,-0.07012930959854764,-0.061463608075559735,-0.09125668200602649,-0.11231979093825625,-0.17140194472133732,-0.424149517471272,0.09591196379565375,0.06674744349045102,0.06674008621646924,-0.01868362493178207,-0.06673438259556806,-0.15070673826534906,-0.0003310821233531655,0.0373814655117434,0.033616664677885065,0.060408436603611435,0.033871022906663,-0.046301661800125384,-0.11159770522639957,-0.2963915774059955,0.042740692205492474,-0.046047392973529624,0.036593961123394886,-0.029983249455311205,-0.16540410035665862,-0.01004203458374401,0.049058067182587754,-0.23878288612655008,-0.030324262724688623,-0.049879847517742604,-0.07633749227677239,0.09458810724341236,0.10332860053834024,-0.1036951886050407,-0.03622672140494549,-0.049879847517742604
pA_landuseArea_HDres_100_sum,0.18196864470518553,0.3007789416829303,-0.11925973623726621,1.0,0.9842294406700196,0.9545196095237891,0.8892399044135099,0.41634116967908197,0.10153882577154195,0.041059749364301304,-0.5762016958069894,-0.5096069728498761,-0.35348297577293075,0.2986160637901888,-0.133617900693971,-0.1362049208224332,0.12207494931973804,-0.03909205061681198,-0.5902946168654968,-0.08197926258887002,-0.13018885090492543,-0.14663054615744728,-0.13150937063425452,-0.0937728087971476,-0.08593934048274206,-0.08869589522351479,-0.061035306233559634,0.016836554661772023,-0.027026130768486718,-0.020591560972236068,-0.02468394730081436,-0.03581936993031502,0.3454062257498452,0.3618405323306584,0.3747018154762844,0.3437797343656051,0.10296263035780293,-0.005073501888461634,-0.032698184362826295,0.020714774744593163,0.1808030301416637,0.2378934182722575,0.41013856160949674,0.050732026367641445,0.18519669554232535,0.24157805141811706,0.35086902103207795,0.42326057684674895,0.42796705790463835,-0.03998643189555299,-0.004979865959418331,-0.04917228435967717,-0.059597619661846506,-0.04211690842453462,-0.01966854153884265,-0.059937441968158575,-0.034526972706855646,-0.019941806749880404,-0.11583725471924497,-0.027389669271377353,0.35683710843943045,-0.058109468109214815,0.015072122625517532,-0.005259542014914146,-0.05287254576893603,-0.04114955779819293,0.35683710843943045
pA_landuseArea_HDres_300_sum,0.20598230375903956,0.3153636406934726,-0.11595818285629203,0.9842294406700196,1.0,0.9849370852408749,0.9256575056997148,0.4368550451655338,0.10646319860456611,0.046872912507627706,-0.5812246210123244,-0.5216902225711668,-0.35735929118040105,0.31290168963902526,-0.14199602003858616,-0.15394682536181337,0.11471163211851645,-0.037358723436319345,-0.5790612985127419,-0.08653106633935422,-0.13741743629477135,-0.15715738691955253,-0.1395193403092277,-0.08355789418497747,-0.08388849187405033,-0.09352735701452383,-0.06442422102801361,0.03127761195219229,-0.02852672542508914,-0.02173488358214732,-0.026054494928988488,-0.038538376507125174,0.3726160572359124,0.3891434754355584,0.40325030957365243,0.37488171320970226,0.10902096188489009,0.004615903829694708,-0.014972474872358083,0.02124492574113459,0.18491850721126862,0.2567383297277878,0.45150231772435645,0.03639350212664527,0.16633945133383424,0.23498043652450912,0.3645092496589569,0.4430901827145367,0.4566553566480322,-0.04193093921973284,0.006748283261606627,-0.048683796435340924,-0.05648918889164501,-0.0444542395979194,-0.020739020650172718,-0.06326539911889983,-0.03661064864080141,-0.021049052508003145,-0.1211523704241012,-0.028910448982939388,0.37716063500759384,-0.06359648750729938,0.013234994655479863,-0.003603010554150477,-0.05514846537726301,-0.0429848693739595,0.37716063500759384
pA_landuseArea_HDres_500_sum,0.21613417471502716,0.3288720587611539,-0.10807234497476234,0.9545196095237891,0.9849370852408749,1.0,0.9627564765011372,0.46326752465447674,0.12019280687633498,0.057782542534825315,-0.5801715775283611,-0.5371876407467938,-0.3667136584387406,0.3322022609578007,-0.15194412487469985,-0.1680283537685697,0.10704631033627326,-0.010518787013635372,-0.5716378901983483,-0.0916469918504034,-0.14554188682732827,-0.16492018907630168,-0.14655858120671733,-0.046946493187503685,-0.050401432660351506,-0.09893272334881423,-0.06823313648265622,0.05566344030140215,-0.03021329429015509,-0.02301990236328133,-0.027594899559644122,-0.03906820179011542,0.415629388993968,0.42925207360287876,0.44361876851721965,0.41897357566281185,0.12001089912954843,0.01304483140955328,-0.006688357602361959,0.03456145307915836,0.22086908704357894,0.293491380897714,0.4989854589398029,0.013919930414163827,0.13474517928908958,0.20491140757233373,0.3553704891145074,0.4479238082513051,0.4795519129285871,-0.04404130002271412,0.033562065605871876,-0.042512806542581466,-0.05044003849039054,-0.04163846909060818,0.014014135258578716,-0.0670058022251068,-0.03799512549711424,-0.022293470739060517,-0.12645252998904102,-0.030614438474820888,0.41786107945621564,-0.07010580291205504,0.024660179783922098,0.010366906360085724,-0.05751066337696886,-0.04345672949244114,0.41786107945621564
pA_landuseArea_HDres_1000_sum,0.23808266292446129,0.3509767799501609,-0.10891998754542326,0.8892399044135099,0.9256575056997148,0.9627564765011372,1.0,0.526791310370028,0.16604016112598236,0.10229599398232879,-0.574618855146783,-0.5380898976859998,-0.36766851422124486,0.38786783063582764,-0.18328329530457485,-0.19327632660892832,0.11329884118972669,0.07902572912667975,-0.5661300996610765,-0.10265765021391235,-0.16163585893099805,-0.17553236473281716,-0.1573985863979993,0.052168988501465945,0.04914015218665936,-0.11031237150796655,-0.07643080603745742,0.11502782633191101,-0.033843181695603755,-0.025785560846618625,-0.030909042650161034,-0.04104110167953416,0.4681028518940542,0.47983848121604966,0.4976804235779924,0.4833606117193438,0.1634387511304726,0.039240863994003124,0.022275502318227357,0.07978320352793865,0.2853392017157233,0.35702698126791,0.5678215878035483,-0.0002522903348756397,0.12668197938477366,0.19569563375183874,0.3435728757060802,0.45673945683304884,0.5251799351858266,-0.046650355424508655,0.10459243945698372,-0.03362878171089644,-0.03541674549937381,-0.03717434724696345,0.07438181632971887,-0.07505601731430148,-0.009359000143176506,-0.024855906051262765,-0.12501187078865686,-0.022883719510075104,0.4684528866469262,-0.07445167100098175,0.041595233433201956,0.02151945206560563,-0.026732270110951178,-0.006752323017673563,0.4684528866469262
pA_landuseArea_HDres_5000_sum,0.18991306120193516,0.567776919342277,-0.2714357827252712,0.41634116967908197,0.4368550451655338,0.46326752465447674,0.526791310370028,1.0,0.34184950209589043,0.4683033242098201,-0.29908636318113907,-0.2566541914151805,-0.06395350080217085,0.7357145479776604,-0.30752393113603754,-0.042572542127927,0.30777302058786704,0.3082598537283021,-0.3095453415450456,-0.07600180206397611,-0.18596995242520503,-0.07577274906381068,-0.12134339284113535,0.28264795144046667,0.28938333288511775,-0.1338555116050539,-0.04731528640014026,0.38980371996851837,-0.0294806516576122,0.11791673363626337,0.14126003656254016,0.22695840644964704,0.3342817619202982,0.36759740638887883,0.4051359018757542,0.448405798218582,0.5264025833059229,0.026304809909644167,0.06354405701243405,0.14101365596853466,0.24657397550232338,0.3099161035411965,0.534010696244595,0.08715464471097006,0.13978410979770295,0.21976553188600476,0.3629633932822927,0.44772144959596616,0.5624121432576981,-0.06613565800027521,0.3416043005848616,-0.04772547776671151,0.02028730359114174,-0.04344274646590237,0.15074608940432585,-0.11382467680299038,0.12252942283936691,0.007309473811766663,-0.021986336673608085,0.014238699778992954,0.32749051779321237,-0.01823300292527277,0.0035888884557229456,-0.014771921186087856,0.09083241421670095,0.09501902593477998,0.32749051779321237
pA_landuseArea_Industry_1000_sum,0.16636142634689605,0.09287797882316334,-0.15249581475867474,0.10153882577154195,0.10646319860456611,0.12019280687633498,0.16604016112598236,0.34184950209589043,1.0,0.5050613301926592,-0.37371416829945575,-0.4060075825261352,-0.321001372860113,0.26178894926111684,-0.19340240159288896,-0.0932174861994198,0.2269645880558831,0.8651632209920201,-0.3162262338134065,-0.05499418650209692,-0.1539088024597501,-0.05534970127044412,-0.06452587769006107,0.6304211990572475,0.7409801395084291,-0.06441849214704481,-0.0035850477081204616,0.45163293214787764,0.030443609059699957,0.13302715743974572,0.17816183098604316,0.36455605190825496,0.4332998694879724,0.47502861091849236,0.4984658050575794,0.5427072068840865,0.4500427008199418,0.01390873821921823,0.07199076053972268,0.11915913753191823,0.36261040116297993,0.3856985595991546,0.3737766470749587,0.10304801085030026,0.13594070215716017,0.15152655559064215,0.21142343580687714,0.2910136168216573,0.38694978331721747,0.08510994468744214,0.30986593868540036,0.1500425527408583,0.37146943503672136,0.14200536907443848,0.058298124394735126,0.18398402210450823,0.11602129729005548,0.04952218818077263,0.2865350750382084,0.13877952025036158,0.39428770583947215,-0.016691821760685784,-0.03876485997182492,-0.03637195408463166,0.06309439437579711,0.0960727077872074,0.39428770583947215
pA_landuseArea_Industry_5000_sum,0.13100362021230633,0.11350147280928204,-0.34239322134176975,0.041059749364301304,0.046872912507627706,0.057782542534825315,0.10229599398232879,0.4683033242098201,0.5050613301926592,1.0,-0.14756222658944504,-0.12765164955358146,-0.02274274033340943,0.5398713280291073,-0.4547819766499132,0.20766683256692334,0.5340516934521187,0.40183968888877386,-0.15233171236672147,-0.02416949615572803,-0.09222351262383646,0.17654664900185954,0.16238462763486874,0.33634849523038896,0.3497528090751418,0.14398989190789963,-0.003654257844654113,0.8493771585084411,-0.0310511106730687,0.14437992228926888,0.17321562365968257,0.3166460909634625,0.4285930252156881,0.47847396719550583,0.5213544573690208,0.6329357649395201,0.9204049538534661,-0.057256588785980465,0.07495167644556393,0.16206046852508446,0.3853007797189912,0.45996216154074937,0.5429672745917493,0.11829892553431959,0.05262840455583898,0.08360547340499185,0.16057388760832184,0.24320600041192802,0.35630772630512286,0.1532834405128157,0.6012249636367373,-0.01496400882060665,0.3219807508815746,0.0004687609965194966,0.0918228041749292,0.22688031521299756,0.23703694500317551,-0.007736851198392222,0.6288356066349176,0.02972000029620833,0.4099790654489656,0.024977856194004798,-0.06963886238663654,-0.048969658195569844,0.2274541245008103,0.22120671124221486,0.4099790654489656
pA_landuseArea_LDres_300_sum,-0.08787827084843582,-0.1608745476598597,0.1614019251637193,-0.5762016958069894,-0.5812246210123244,-0.5801715775283611,-0.574618855146783,-0.29908636318113907,-0.37371416829945575,-0.14756222658944504,1.0,0.9532136968886699,0.7115730603131323,-0.14717142417908408,0.07370700722932129,-0.00650117182555555,-0.051289500437878874,-0.41571905888510624,0.9336330749485466,-0.04741166426450784,-0.021607913821104392,-0.13781870071050015,-0.18837883730763133,-0.39847947768876274,-0.41659766216956445,-0.21216909888333083,-0.07116711891745119,-0.15725570562512148,-0.046118275552746224,-0.05736597982380335,-0.08195165315335322,-0.12896866673526716,-0.2874304542322136,-0.28669527994168026,-0.29319873321879564,-0.27856316514408486,-0.15766594507590972,0.06116979987851926,0.07900752108399867,0.04798445449347996,-0.15624307412509073,-0.2190190425429342,-0.3203786352244521,-0.042169544529904776,-0.09737463784818787,-0.020052107737243845,0.09448149344846785,0.03073216649289948,-0.10135768427765832,-0.07886032245694928,-0.08673569158933878,-0.1184330216745166,-0.07785545163934093,-0.12191475088347589,-0.07862931830156314,0.01390825583281155,-0.04098040550269031,0.006871861354606991,-0.012487209731255456,-0.021031886039818662,-0.27586244759723905,-0.14324493366968272,0.033486142158017304,0.04106766473842754,0.02199855831910564,0.004363546882364848,-0.27586244759723905
pA_landuseArea_LDres_500_sum,-0.07384174482683586,-0.13732344424688817,0.1333498501448527,-0.5096069728498761,-0.5216902225711668,-0.5371876407467938,-0.5380898976859998,-0.2566541914151805,-0.4060075825261352,-0.12765164955358146,0.9532136968886699,1.0,0.8377353808624314,-0.07685254477091759,0.035001311518219766,-0.0108521269710489,0.015868094686161554,-0.4271093215528669,0.8385199962751345,-0.09678695046411437,-0.07086435740655427,-0.14219585930092313,-0.15642521396902936,-0.35725608091654315,-0.392058267177183,-0.16211049672420527,-0.10391827933103227,-0.17217745730717535,-0.05660539104757702,-0.06933016926744608,-0.09474755873002885,-0.15439424592584333,-0.2840110002360346,-0.2800815124501313,-0.28259064363907016,-0.2622381145185789,-0.13194095900427918,0.039675758460222074,0.060002209830189515,0.03657202855261518,-0.17135819604820063,-0.21503361577037128,-0.29674838663146735,-0.026971925891778836,-0.042863595676541355,0.05093001855819361,0.18907252393304907,0.13200470771268535,0.013204362017422748,-0.06780578496243748,-0.06628745732784347,-0.1198001390753672,-0.08144858577805268,-0.10072813131024981,-0.04390896299191102,0.00603197243120822,-0.06333521865131829,-0.007149887583149954,-0.022433666322916154,-0.02129225634559211,-0.2690941892202412,-0.1329440872009425,0.03390840007232488,0.04535347773284164,0.005672516942074219,-0.017245790990796976,-0.2690941892202412
pA_landuseArea_LDres_1000_sum,-0.019169700935366345,-0.0554360529168392,0.06879934866454976,-0.35348297577293075,-0.35735929118040105,-0.3667136584387406,-0.36766851422124486,-0.06395350080217085,-0.321001372860113,-0.02274274033340943,0.7115730603131323,0.8377353808624314,1.0,0.1695052970930626,-0.12950967304532376,0.002246141175300244,0.1793968005746683,-0.26390134869980186,0.6030598251450225,-0.12165162896601871,-0.17916919244659066,-0.05477153309422311,-0.06519908066084729,-0.179118508066433,-0.20573422140920997,-0.1029040710385995,-0.09650531406963285,-0.1250791718486325,-0.0462619623022542,-0.05405867370220331,-0.07112453858362622,-0.12738423460603673,-0.17193023653221573,-0.15789381309532316,-0.15366950956789005,-0.12429132960477302,-0.003191349031906274,0.01871692855847292,0.046069705811093056,0.02499720592523367,-0.11352154943177886,-0.12838252128678102,-0.14976883500824525,0.05974127941584938,0.07724400804407672,0.18933102111571773,0.33595541488297587,0.3233198159397299,0.33822190245234796,-0.07760026455287852,0.04870430454622879,-0.0955076264081862,-0.0645261250907662,-0.0708401221631971,-0.01845008596205129,-0.011503028592612196,-0.04910741968106512,0.020547249910832368,-0.028612230133216468,0.005048271913620916,-0.15549389737945563,-0.11606173125827134,0.05479754847006068,0.08243617078944869,-0.0006595235017290755,-0.02365431676000566,-0.15549389737945563
pA_landuseArea_LDres_5000_sum,0.1685504676746154,0.456672163568294,-0.4462777621198776,0.2986160637901888,0.31290168963902526,0.3322022609578007,0.38786783063582764,0.7357145479776604,0.26178894926111684,0.5398713280291073,-0.14717142417908408,-0.07685254477091759,0.1695052970930626,1.0,-0.6287049101796233,0.17742172132538855,0.637960523864449,0.24969724849342362,-0.1956397047372894,-0.06646601226867997,-0.1949421041767203,0.09092920833876644,0.039679342037602226,0.2633821018755856,0.25908050472198796,0.025250099635878685,-0.05224599348972746,0.347266998625947,-0.05634012263919547,0.05954805059543105,0.07010883406402223,0.12854325843518435,0.3681689584027016,0.40304703543938764,0.43227815679279546,0.4770841469658604,0.6802862026578701,-0.00301104992898889,0.06995890078454324,0.13843061522593905,0.28042465454887533,0.3371415568750591,0.5153656583355516,0.09393219187752423,0.130566869717151,0.20929511173255463,0.33954939390604877,0.4302091436394427,0.5728954799704439,-0.15001784739710705,0.47743160343150653,-0.023305518487266644,0.05767647495385861,-0.020945376407847896,0.09269384343740746,-0.09749418401054513,0.08462865050621692,0.012630869674759505,0.08125133521501637,-0.019509605902550572,0.36618213164702534,-0.09615119211556175,-0.016057101317974422,-0.010225764469338273,0.13492955038043752,0.08515817284767016,0.36618213164702534
pA_landuseArea_Natural_5000_sum,-0.09535227183352302,0.0772479826732602,0.38203489866415874,-0.133617900693971,-0.14199602003858616,-0.15194412487469985,-0.18328329530457485,-0.30752393113603754,-0.19340240159288896,-0.4547819766499132,0.07370700722932129,0.035001311518219766,-0.12950967304532376,-0.6287049101796233,1.0,-0.18964620304064359,-0.5483122901875402,-0.1803757725605558,0.09049851236749884,0.06650200545121956,0.21447775056884902,-0.1293264636875231,-0.09219902917976269,-0.18435306122379017,-0.1799927234145616,-0.05737440299587879,0.05250697294269701,-0.27481051039281845,0.05408979126239221,-0.04699552003465609,-0.05588033469338495,-0.10164066713733545,-0.27132823311347576,-0.2954050392547045,-0.3135517097684801,-0.3612039404932464,-0.5777640190309903,-0.00887974212544507,-0.08178043967935314,-0.10195710398484374,-0.23045968310577747,-0.28725844568209163,-0.37373169308193155,-0.06775563682149728,-0.07465761453662755,-0.11114090814894814,-0.16637025309511128,-0.24458815177144388,-0.35808785635138296,-0.018379989063589692,-0.32686483797008975,-0.002424738586022877,-0.05939534439679603,-0.011793217710754079,-0.04714766542134137,-0.06087380533768831,-0.07172741139639036,-0.03518350682021047,-0.17910465246426907,-0.01018363757588905,-0.26309251586643306,0.12282501029144512,0.06332561816869837,0.047835695004055157,-0.1093371689209783,-0.07923199811282723,-0.26309251586643306
