siteID_INT,siteID,RES_depNO2
1,BO03,8.657744931874806
2,BO08,-2.5225746453429707
3,BO11,-10.327404498100881
4,BO04,-0.03613435810267873
5,BO14,-4.125127160012475
6,BO15,-1.3846425586881423
7,BO16,-4.392595706974792
8,BO41,4.141145874961271
9,BO43,2.6588796356019273
10,BO44,-5.625955466424131
11,BO48,-3.466753985174435
12,BO53,-6.250142057943801
13,BO54,-9.450032628779232
14,BO60,4.296050179112861
15,BO61,2.658104867143372
16,BO63,-2.423780104908168
17,BO64,-6.414253021136471
18,BO65,-2.5321643866882475
19,BO66,5.778406607699374
20,BO67,-5.412625425646336
21,BO68,4.541353322668769
22,BU01,2.1142936673865087
23,BU02,3.548209744920875
24,BU03A,-5.217790797392283
25,BU04,2.00389013793637
26,BU05,-2.8430654224754974
27,BU06,5.066627026421042
28,BU07,-2.6028008048574307
29,BU08,-0.6284765459443165
30,MAN14,-7.004428132436463
31,MAN24,-2.467011465175048
32,MAN26AB,-0.25676996778224037
33,MAN28,4.640599791896143
34,MAN29A,18.020647096790185
35,MAN36,1.0905383027658146
36,MAN37,6.671527640535018
37,MAN59,-3.492353792434237
38,MAN71,4.709024837229194
39,MAN72,-2.7637095116159216
40,MAN73,3.7904153393614237
41,MAN74,0.1106299288762358
42,MAN75,15.907253135094074
43,MAN77,4.3903823675460245
44,MAN78,5.305350265803728
45,MAN79,3.472945715981922
46,MAN80,4.341103235802571
47,MAN81,-5.273249428532878
48,MAN82,11.277052180154726
49,MAN86A,-3.3706419561694787
50,MAN87A,-8.86789694634922
51,MAN88,9.40698957399794
52,MAN88A,12.119469576478316
53,MAN89A,4.036016399060021
54,MAN90,-8.554388112517533
55,OL10,-4.815138271798379
56,OL11,-2.51240311404662
57,OL17,-4.273838091560506
58,OL20,2.0197256999367994
59,OL23,-2.464110366749125
60,OL24,5.48119158065721
61,OL25,1.9409727980994127
62,OL26,-3.018479567455028
63,OL27,0.39958926619159385
64,OL28,6.064366002167155
65,OL29,-1.1223029867312775
66,OL30,-1.717897976681094
67,OL32,3.2195310475178225
68,RO18A,2.794528829837887
69,RO19A,-9.794715517994764
70,RO20A,0.619577767788364
71,RO21A,-2.3649218095254554
72,RO22A,-2.816934357824927
73,RO02A,1.2851601618108717
74,RO03A,-6.884089970734614
75,RO04A,-3.49447492094302
76,RO05A,4.5709646920054965
77,RO06A,6.376774900275585
78,RO07A,-11.130734180737328
79,RO08A,11.323258891173715
80,RO09A,6.111975574461496
81,RO10A,-8.106548431923692
82,RO11A,1.3247134688296
83,RO12A,1.6621833910470976
84,RO13A,-15.994330065991399
85,RO14A,11.252689799950698
86,RO15A,-2.474693795747541
87,RO16A,-3.8732199750348606
88,RO17A,-13.974419814014524
89,SA61,5.24339251454942
90,SA62,1.4244992233396871
91,SA63,12.095616475700453
92,SA64,-5.921911122481756
93,SA65,3.5135613947052207
94,SA66,1.3096761235396528
95,SA67,-0.5765207875742959
96,SA68,10.544621320417178
97,SA69,15.578376281052304
98,SA70,-3.8401742408815664
99,SA71,0.792287241370353
100,SA72,12.158569764739624
101,SA01,-9.675802412643751
102,SA02B,-4.29957760759245
103,SA04,-1.599590840467286
104,SA09,-3.662504307555615
105,SA13,-4.930734908235316
106,SA14,0.9528700194305273
107,SA16,-3.7490791742619116
108,SA17,15.950742116418212
109,SA20,10.703843253369055
110,SA23,-8.706061105343736
111,SA25,0.8599374593711069
112,SA26,-1.6891622329270035
113,SA29,-8.503453904150138
114,SA31,-1.2063212998301793
115,SA33,1.0253368805720235
116,SA34,3.24446904077125
117,SA38,-2.486584004801923
118,SA39,-3.0600774436080442
119,SA44,-0.7464122990638415
120,SA50,5.002324030857395
121,SA51,-3.118146402914647
122,SA52,-6.829566553617688
123,SA53,1.7698039365358902
124,SA54,-0.21117307786724382
125,SA55,-3.520389008433277
126,SA56,1.8210648672375562
127,SA59,1.9876023728995662
128,SA60,3.0957463800145675
129,SK15,-7.221670260621938
130,SK31,-4.286834711072974
131,SK01,-4.842319707210848
132,SK02,9.316703101553664
133,SK03,-0.588831655992891
134,SK04,-11.95164436928493
135,SK06,-10.79145122823142
136,SK07,16.632719865335517
137,SK08,-3.1030087637535892
138,SK09,-11.068852161563495
139,SK10,-8.286893751926304
140,SK11,6.846466560274468
141,SK12,2.389546641028545
142,SK13,-2.524344406748593
143,SK14,12.327084042395839
144,SK16,-6.452935311213867
145,SK17,-1.27873086124929
146,SK18,6.238742399587231
147,SK19,7.555847883493456
148,SK20,13.56119485806974
149,SK21,-5.446862613655558
150,SK22,-4.177267964911447
151,SK25,-4.029815657301668
152,SK26,-7.629665758673067
153,SK27,-5.1060362923894544
154,SK28,2.2117811941481165
155,SK29,-7.573396043035494
156,TA54,10.3747875175887
157,TA49,-1.921535325418354
158,TA50,-1.5731005030460565
159,TA51,3.43735922221493
160,TA52,3.62118183768321
161,TA53,3.827366509043415
162,TA55,16.8690406066821
163,TA56,5.069441513145236
164,TA57,9.251577496223533
165,TA58,0.399324616817907
166,TA59,-7.526637168211625
167,TA60,2.6617453729326357
168,TA61,-7.813415068473137
169,TA62,-2.4370271500844964
170,TA01,-6.299830845614185
171,TA02,-2.797963734868766
172,TA03,-0.03460677696766368
173,TA05,-7.995174488004759
174,TA09,-5.285213559490407
175,TA10,-3.6742925035007445
176,TA11,27.498384869043374
177,TA12,-23.704472796184252
178,TA13,3.8826101014169936
179,TA14,-5.315568018119478
180,TA15,-6.620668041847228
181,TA16,4.482281817157144
182,TA17,0.4626369256082583
183,TA18,8.408453536950418
184,TA19,3.569746635484762
185,TA20,8.529102619413234
186,TA21,21.476257690526776
187,TA22,-7.320383182309584
188,TA23,-6.1328705946300985
189,TA24,-2.8637944774675645
190,TA25,-3.733002141786379
191,TA26,-7.357325134879183
192,TA27,-4.240076863536448
193,TA28,5.514186262462072
194,TA29,-2.412216936612083
195,TA30,2.5493552656224203
196,TA31,-6.519292294447606
197,TA32,-6.974635402111559
198,TA33,-5.418060326894899
199,TA34,-4.784249000789423
200,TA35,4.140854601593606
201,TA36,-4.76492365968009
202,TA37,6.8273336333931915
203,TA38,1.0359152728949326
204,TA39,4.953515899674265
205,TA40,1.260196028375951
206,TA41,4.005979497705024
207,TA42,-0.0926719925319297
208,TA43,3.2367800619969316
209,TA44,-14.123740574142792
210,TA45,27.37744134116098
211,TA48,-1.8987581864550513
212,TR23A,-8.854335429282614
213,TR05,-2.454093355333036
214,TR09,-3.4512870336807815
215,TR13,-4.4719926395690806
216,TR15,-2.1511983740621936
217,TR16,1.6401570008770499
218,TR17,-5.955329672284336
219,TR18,-11.261357985441943
220,TR19,-6.686718040412579
221,TR19B,-19.66846355119914
222,TR20,-7.883031036560656
223,TR20AB,0.49844551013872973
224,TR21,-5.596468899057626
225,TR22,3.2921763887783477
226,TR23,-5.986208807590685
227,TR24,-5.6438533138091564
228,TR25,-13.868676658336767
229,TR25B,-15.9900662630526
230,TR26A,10.302896391298983
231,WI124,-3.5332589540709236
232,WI125,6.720576717331376
233,WI126,-2.1183591140488893
234,WI127,10.566425299467856
235,WI128,-3.5698588372008793
236,WI130,-2.82295503062484
237,WI131,-0.8842438785753508
238,WI132,-3.527502960454431
239,WI133,-0.4667573646253338
240,WI134,-5.5463862820197605
241,WI135,4.923264598517452
242,WI136,5.042938297077672
243,WI137,3.4212501937743838
244,WI138,-0.6855242011573317
245,WI139,-6.913026840279965
246,WI141,3.1852372262326085
247,WI142,4.61699515308181
248,WI143,-9.811963765399547
249,WI144,4.878053283481055
250,WI145,-1.3279546360970151
251,WI146,-6.927081268191788
252,WI147,3.6219994502648483
253,WI148,-2.0507627922741527
254,WI149,2.68195409978048
255,WI150,7.162886983236454
256,WI151,-6.9365042133937
257,WI152,-4.825689663276666
258,WI153,-6.929691259189127
259,WI154,-10.348103756804274
260,WI155,2.185978336261009
261,WI156,-1.9600836705445346
262,WI157,-5.238129487797366
263,WI159,-4.867117815267392
264,WI160,3.2262839410830324
265,WI161,-2.703604684298739
266,WI162,0.6770355951629057
267,WI163,1.7900390930581267
268,WI164,-3.855075697076561
269,WI165,-3.8843772968538133
270,WI166,-11.085741860617095
271,WI167,-5.215757629855698
272,WI168,2.4683926337951867
273,WI169,1.16301294060559
274,WI170,-0.23630974174991692
275,WI171,-1.5546556404333671
276,WI172,2.5711363938111056
277,WI173,-2.495487826930404
278,WI174,-2.472511001469364
279,WI176,-3.153931672992705
280,WI177,1.3115438734945037
281,WI178,12.785530679894446
282,WI179,-6.382662871885639
283,WI180,27.96051204111231
284,WI181,0.09971221363904448
285,WI182,1.8898382151140858
286,WI183,-0.059527365048055
287,WI184,10.549886527225855
288,WI185,6.489699638742007
289,WI186,6.294552509763534
290,WI187,2.287767449326779
291,WI188,4.90823901468918
292,WI189,2.5928028041313027
293,WI190,2.7521531850389493
294,WI114,6.797199086135365
295,WI115,-0.39587807198212843
296,WI116,-5.612081143324453
297,WI117,1.1079136668137295
298,WI118,6.798747301483335
299,WI119,10.698825243213527
300,WI120,-4.113910979045254
301,WI121,12.466652023282997
302,WI123,1.9717089955584157
303,WI14,0.34360790208849323
304,WI23,6.303879852712257
305,WI28,3.4184052137139886
306,WI30,-4.044189287903329
307,WI33,8.177652227620552
308,WI35,8.009779075989293
309,WI43,-1.4223916959260876
310,WI47,-4.167502283933516
311,WI51,3.2630322817195854
312,WI52,2.7283811943862375
313,WI53,-3.536978686548359
314,WI54,-0.11627520859035556
315,WI61,1.6046438068100848
316,WI63,-1.2512006340362163
317,WI71,3.9034188986236487
318,WI81,-2.3889384641172313
